filename,label
cifar_00000.png,3
cifar_00001.png,8
cifar_00002.png,8
cifar_00003.png,0
cifar_00004.png,6
cifar_00005.png,6
cifar_00006.png,1
cifar_00007.png,6
cifar_00008.png,3
cifar_00009.png,1
cifar_00010.png,0
cifar_00011.png,9
cifar_00012.png,5
cifar_00013.png,7
cifar_00014.png,9
cifar_00015.png,8
cifar_00016.png,5
cifar_00017.png,7
cifar_00018.png,8
cifar_00019.png,6
cifar_00020.png,7
cifar_00021.png,0
cifar_00022.png,4
cifar_00023.png,9
cifar_00024.png,5
cifar_00025.png,2
cifar_00026.png,4
cifar_00027.png,0
cifar_00028.png,9
cifar_00029.png,6
cifar_00030.png,6
cifar_00031.png,5
cifar_00032.png,4
cifar_00033.png,5
cifar_00034.png,9
cifar_00035.png,2
cifar_00036.png,4
cifar_00037.png,1
cifar_00038.png,9
cifar_00039.png,5
cifar_00040.png,4
cifar_00041.png,6
cifar_00042.png,5
cifar_00043.png,6
cifar_00044.png,0
cifar_00045.png,9
cifar_00046.png,3
cifar_00047.png,9
cifar_00048.png,7
cifar_00049.png,6
